Incarceration Rate,Average Daily Population (ADP)
,
0,0
0.1,23
0.1,29
0.4,1177
0.5,85
0.6,97
0.7,374
0.9,1320
1,8
1,1321
1,1379
1,1464
1,1487
1,1495
1,1503
1,1529
1.1,554
1.1,1521
1.1,1588
1.1,1647
1.1,1651
1.1,1657
1.2,18
1.2,1671
1.2,1697
1.2,1698
1.2,1700
1.2,1756
1.2,1772
1.2,1791
1.2,1797
1.2,1807
1.2,1819
1.2,3306
1.2,3336
1.2,3378
1.2,3399
1.2,3424
1.3,21
1.3,1797
1.3,1818
1.3,1823
1.3,1828
1.3,1833
1.3,1839
1.3,1841
1.3,1847
1.3,1848
1.3,1857
1.3,1861
1.3,1864
1.3,1865
1.3,1891
1.3,1895
1.3,3524
1.3,3585
1.3,3590
1.3,3620
1.3,3634
1.3,3644
1.3,3787
1.4,22
1.4,23
1.4,25
1.4,146
1.4,150
1.4,364
1.4,427
1.4,536
1.4,541
1.4,647
1.4,684
1.4,1936
1.4,1949
1.4,1951
1.4,1984
1.4,1987
1.4,1992
1.4,1994
1.4,1995
1.4,2003
1.4,2007
1.4,2044
1.4,2046
1.4,2166
1.4,2769
1.4,3614
1.4,3615
1.4,3650
1.4,3685
1.4,3693
1.4,3726
1.4,3733
1.4,3741
1.4,3774
1.4,3784
1.4,3829
1.4,3929
1.4,3949
1.4,3976
1.4,3987
1.4,4018
1.4,4034
1.4,4054
1.5,13
1.5,24
1.5,25
1.5,151
1.5,159
1.5,166
1.5,169
1.5,171
1.5,374
1.5,379
1.5,383
1.5,388
1.5,389
1.5,405
1.5,552
1.5,559
1.5,560
1.5,573
1.5,580
1.5,582
1.5,703
1.5,2029
1.5,2048
1.5,2099
1.5,2103
1.5,2104
1.5,2107
1.5,2112
1.5,2121
1.5,2140
1.5,2869
1.5,2948
1.5,2956
1.5,3981
1.5,4020
1.5,4150
1.5,4166
1.5,4167
1.5,4185
1.5,4206
1.5,4211
1.5,4222
1.5,4242
1.5,4272
1.5,4281
1.5,4302
1.5,4331
1.6,24
1.6,26
1.6,160
1.6,166
1.6,167
1.6,171
1.6,173
1.6,174
1.6,175
1.6,180
1.6,188
1.6,335
1.6,338
1.6,340
1.6,348
1.6,396
1.6,397
1.6,404
1.6,408
1.6,410
1.6,415
1.6,419
1.6,428
1.6,430
1.6,431
1.6,432
1.6,587
1.6,590
1.6,624
1.6,773
1.6,781
1.6,1158
1.6,1173
1.6,1212
1.6,1235
1.6,2192
1.6,2201
1.6,2297
1.6,2322
1.6,2345
1.6,2357
1.6,2380
1.6,2383
1.6,3023
1.6,3176
1.6,4348
1.6,4362
1.6,4403
1.7,15
1.7,29
1.7,31
1.7,78
1.7,182
1.7,183
1.7,184
1.7,186
1.7,188
1.7,191
1.7,192
1.7,198
1.7,342
1.7,344
1.7,345
1.7,347
1.7,353
1.7,359
1.7,360
1.7,361
1.7,364
1.7,365
1.7,370
1.7,395
1.7,404
1.7,417
1.7,428
1.7,430
1.7,431
1.7,437
1.7,440
1.7,441
1.7,442
1.7,612
1.7,613
1.7,630
1.7,646
1.7,650
1.7,653
1.7,656
1.7,667
1.7,668
1.7,671
1.7,672
1.7,791
1.7,794
1.7,813
1.7,1225
1.7,1259
1.7,1263
1.7,1268
1.7,1303
1.7,1307
1.7,2297
1.7,2300
1.7,2339
1.7,2341
1.7,2381
1.7,2386
1.7,2390
1.7,2392
1.7,2404
1.7,2444
1.7,2470
1.7,2578
1.7,3178
1.7,3351
1.7,3358
1.7,3381
1.8,15
1.8,28
1.8,32
1.8,81
1.8,84
1.8,182
1.8,185
1.8,186
1.8,195
1.8,196
1.8,200
1.8,202
1.8,203
1.8,205
1.8,206
1.8,210
1.8,211
1.8,369
1.8,371
1.8,372
1.8,375
1.8,381
1.8,382
1.8,386
1.8,397
1.8,398
1.8,405
1.8,413
1.8,417
1.8,419
1.8,422
1.8,426
1.8,438
1.8,439
1.8,458
1.8,652
1.8,670
1.8,680
1.8,681
1.8,685
1.8,692
1.8,693
1.8,698
1.8,717
1.8,736
1.8,850
1.8,863
1.8,1320
1.8,1328
1.8,1370
1.8,2497
1.8,2530
1.8,2540
1.8,2562
1.8,2620
1.8,2658
1.8,2677
1.8,2706
1.8,3425
1.8,3434
1.8,3441
1.8,3444
1.8,3447
1.8,3456
1.8,3513
1.8,3543
1.8,3551
1.8,3574
